id,nombre,popularity,artista,pais,genero
341,Family Feud - Live at The Ford,2,FINNEAS,LV,NULL
342,Vai ne,37,"Grēta, Wiesulis",LV,NULL
343,Last Night In Kingston,3,Konan,LV,NULL
344,DENIAL IS A RIVER,88,Doechii,LV,Hip-Hop
345,Postcards - Acoustic Version,1,Mackenzy Mackay,LV,NULL
346,Nārnija,38,"OLAS, Esmeralda, heywhosthatkid",LV,NULL
347,Ghosts / Slowing Down,0,Scarlet House,LV,NULL
348,не расслабляйся,60,Skryptonite,LV,NULL
349,Bank of Wildflowers (feat. Georgia),0,"William Orbit, Georgia",LV,NULL
350,Die With A Smile,96,"Lady Gaga, Bruno Mars",NO,NULL
351,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,NO,NULL
352,Fanga av ein stormvind,60,"Kjartan Lauritzen, Hver gang vi møtes",NO,NULL
353,Standard,6,"Einar, A36",NO,NULL
354,That’s So True,91,Gracie Abrams,NO,love at first listen
355,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",NO,NULL
356,SAMMEN,64,"Marstein, Annika",NO,NULL
357,Hurt,12,OneRepublic,NO,NULL
358,BIRDS OF A FEATHER,93,Billie Eilish,NO,alt-pop
359,Circles,7,SAINt JHN,NO,NULL
360,Sailor Song,89,Gigi Perez,NO,indie folk
361,123 (feat. Yasin),2,"Cherrie, Yasin",NO,NULL
362,APT.,91,"ROSÉ, Bruno Mars",NO,NULL
363,PERSON I NÖDEN,0,ADAAM,NO,NULL
364,Not Like Us,92,Kendrick Lamar,NO,MySpotigramBot
365,Passenger Princess,6,"Aminé, Smino",NO,NULL
366,APT.,87,"ROSÉ, Bruno Mars",NO,NULL
367,I Ain't Sayin' - Performance,2,Jordan Davis,NO,NULL
368,Messy,83,Lola Young,NO,indie rock
369,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,NO,NULL
370,Clean Baby Sleep White Noise (Loopable),91,"Dream Supplier, Baby Sleeps, Background White Noise",NO,NULL
371,Don't Play by the Rules,3,"D.T.E, PREZIOSO",NO,NULL
372,Indigo (feat. Avery Anna),81,"Sam Barber, Avery Anna",NO,NULL
373,Rodeo (Remix),9,"Lah Pat, Flo Milli",NO,NULL
374,WILDFLOWER,90,Billie Eilish,NO,edu e marco
375,Last Night In Kingston,3,Konan,NO,NULL
376,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",NO,NULL
377,Little Window - Live Studio Session,3,FINNEAS,NO,NULL
378,Sees Igjen,57,"Golfklubb, Dizzy, Philippe",NO,NULL
379,Rid Of Me - Live,3,Still Woozy,NO,NULL
380,"Good Luck, Babe!",89,Chappell Roan,NO,synthpop
381,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",NO,NULL
382,Messy,86,Lola Young,NO,indie rock
383,Delli (feat. Adel),0,"Ricky Rich, Adel",NO,NULL
384,Lose Control,85,Teddy Swims,NO,soul
385,The Crash,0,Jordana Bryant,NO,NULL
386,Weathervane,70,Hunter Metts,NO,NULL
387,Party Jumpin’,2,"Jamie Brown, Marshmello",NO,NULL
388,The Sound of Silence - CYRIL Remix,78,"Disturbed, CYRIL",NO,NULL
389,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",NO,NULL
390,Medusa,75,Cameron Whitcomb,NO,NULL
391,หากันจนเจอ (ซนซน 40 ปี GMM GRAMMY),0,"พลพล, Punch",NO,NULL
